"","Name","Sex","Age","Height","Weight","Team","NOC","Year","Season","City","Sport","Event","Medal"
"979","Dmitry Vladimirovich Abramovich","M",27,182,211.6437716928,"Russia-2","RUS",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","0"
"1261","Guido Acklin","M",32,200,229.2807526672,"Switzerland-2","SUI",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"1893","Urs Aeberhard","M",30,180,216.0530169364,"Switzerland-2","SUI",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"4510","Morgan Alexander","M",23,182,202.8252812056,"Canada-1","CAN",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four","0"
"7763","Karl Angerer","M",30,186,218.2576395582,"Germany-3","GER",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","0"
"7989","Martin Annen","M",27,181,216.0530169364,"Switzerland-1","SUI",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"7990","Martin Annen","M",31,181,216.0530169364,"Switzerland-1","SUI",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Two","1"
"8889","Alexandre Arbez","M",23,188,194.0067907184,"France-1","FRA",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"12108","Jannis Bcker","M",29,198,222.6668848018,"Germany-1","GER",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"12708","Jeremy Baillard","M",24,187,233.6899979108,"France-2","FRA",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"12760","John Baines","M",28,189,220.46226218,"Great Britain","GBR",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Two","0"
"14788","Bryan Barnett","M",26,183,202.8252812056,"Canada-1","CAN",2014,"Winter","Sochi","Bobsleigh","Bobsleigh Men's Four","0"
"15541","Stefan Barucha","M",24,184,198.416035962,"Germany-1","GER",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"17157","Timothy Beck","M",25,177,176.369809744,"Netherlands","NED",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"20111","Charles ""Chuck"" Berkeley","M",33,195,231.485375289,"United States-2","USA",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Four","0"
"20510","Simone Bertazzo","M",23,184,227.0761300454,"Italy-1","ITA",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four","0"
"20511","Simone Bertazzo","M",27,184,227.0761300454,"Italy-1","ITA",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Two","0"
"21997","Edson Luques Bindilatti","M",22,190,196.2114133402,"Brazil","BRA",2002,"Winter","Salt Lake City","Bobsleigh","Bobsleigh Men's Four","0"
"21998","Edson Luques Bindilatti","M",26,190,196.2114133402,"Brazil","BRA",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four","0"
"22435","David Bissett","M",30,179,224.8715074236,"Canada-1","CAN",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh Men's Four","1"
